wall_time,step,value
1777300356.3768053,1000,0.7836569547653198
1777300361.4161265,2000,0.40202999114990234
1777300366.967514,3000,0.3494710326194763
1777300372.3732173,4000,0.576236367225647
1777300378.7076056,5000,0.6363160610198975
1777300384.2427657,6000,0.35450610518455505
1777300390.058513,7000,0.43275585770606995
1777300395.3091042,8000,0.37656766176223755
1777300401.2180262,9000,0.39339593052864075
1777300407.2850263,10000,0.5976004600524902
1777300413.241861,11000,0.5393940210342407
1777300418.720787,12000,0.5319668650627136
1777300424.9104881,13000,0.6737451553344727
1777300430.8092697,14000,0.6249496340751648
1777300436.7184293,15000,0.29573148488998413
1777300442.444383,16000,0.5785675048828125
1777300448.2031794,17000,0.5330979824066162
1777300453.7340837,18000,0.3458305597305298
1777300459.784569,19000,0.5552670955657959
1777300465.0852747,20000,0.5932417511940002
1777300471.0068653,21000,0.5149636268615723
1777300476.7840176,22000,0.5160346627235413
1777300483.1800385,23000,0.6881130933761597
1777300488.8041377,24000,0.5939621925354004
1777300493.8191268,25000,0.40346822142601013
1777300499.9118326,26000,0.5202268958091736
1777300505.4414208,27000,0.5009317398071289
1777300511.8670712,28000,0.6773320436477661
1777300517.428807,29000,0.4591159224510193
1777300522.9810166,30000,0.26442673802375793
1777300527.85391,31000,0.6298072934150696
1777300533.130236,32000,0.5199363231658936
1777300538.9499671,33000,0.5447696447372437
1777300544.5136368,34000,0.39223581552505493
1777300549.9028077,35000,0.5703524947166443
1777300556.389472,36000,0.542542040348053
1777300561.5236468,37000,0.2752667963504791
1777300567.3684034,38000,0.3199959993362427
1777300572.796139,39000,0.669998824596405
1777300578.9033403,40000,0.5811700820922852
1777300585.1120691,41000,0.4303867816925049
1777300590.1512218,42000,0.43544140458106995
1777300596.11437,43000,0.3595842123031616
1777300602.265803,44000,0.40683048963546753
1777300607.9509046,45000,0.39674949645996094
1777300614.0236862,46000,0.5579835772514343
1777300619.5525472,47000,0.3969036042690277
1777300625.358355,48000,0.4503178894519806
1777300631.45562,49000,0.587009608745575
1777300637.3643997,50000,0.3022192716598511
1777300644.1721385,51000,0.6661627888679504
1777300649.150949,52000,0.5673635601997375
1777300655.0542529,53000,0.6078057885169983
1777300661.326832,54000,0.4661410450935364
1777300667.0184875,55000,0.5576662421226501
1777300673.1629946,56000,0.6541183590888977
1777300679.3084283,57000,0.5680057406425476
1777300684.9012065,58000,0.5573921799659729
1777300691.0981355,59000,0.721086323261261
1777300696.8625762,60000,0.5617592334747314
1777300702.6646647,61000,0.4794233739376068
1777300708.606975,62000,0.4873833656311035
1777300714.3550034,63000,0.7512512803077698
1777300720.3710856,64000,0.5151238441467285
1777300726.632707,65000,0.3625255525112152
1777300732.4972603,66000,0.41283857822418213
1777300738.311788,67000,0.4133238196372986
1777300744.0492253,68000,0.2634390592575073
1777300749.869107,69000,0.77596116065979
1777300756.5092523,70000,0.40379661321640015
1777300762.2290993,71000,0.43078476190567017
1777300768.3272746,72000,0.4001980423927307
1777300774.178299,73000,0.46130457520484924
1777300779.5791829,74000,0.6620287299156189
1777300785.3579404,75000,0.609290599822998
1777300791.0921378,76000,0.5552469491958618
1777300797.4899924,77000,0.342146635055542
1777300803.2065623,78000,0.20920071005821228
1777300809.0910046,79000,0.6226513981819153
1777300815.0836222,80000,0.6853642463684082
1777300820.7820084,81000,0.5287333130836487
1777300826.2811465,82000,0.6934475302696228
1777300832.5462375,83000,0.5630083680152893
1777300837.9854987,84000,0.40008649230003357
1777300844.1304517,85000,0.5471747517585754
1777300849.8397377,86000,0.47488710284233093
1777300855.1893156,87000,0.2881407141685486
1777300860.922714,88000,0.6553707718849182
1777300866.633565,89000,0.21877199411392212
1777300873.3088806,90000,0.7749332189559937
1777300878.7571943,91000,0.6594626903533936
1777300884.9229217,92000,0.6301432251930237
1777300891.0945566,93000,0.31033292412757874
1777300896.3460486,94000,0.7180944085121155
1777300902.530207,95000,0.4154607653617859
1777300908.021655,96000,0.47039005160331726
1777300912.994398,97000,0.3560366928577423
1777300919.6687925,98000,0.3994640111923218
1777300925.0837057,99000,0.43242600560188293
1777300930.9334538,100000,0.6327983736991882
1777300936.5861585,101000,0.232202410697937
1777300943.023137,102000,0.4123252034187317
1777300948.5414,103000,0.4733017086982727
1777300954.0628111,104000,0.5227002501487732
1777300960.2994337,105000,0.4601452350616455
1777300966.1588185,106000,0.40237095952033997
1777300971.6623843,107000,0.6330512166023254
1777300977.8005352,108000,0.8044400811195374
1777300983.5892725,109000,0.5355610251426697
1777300989.6852853,110000,0.7711741328239441
1777300994.8272824,111000,0.5613104701042175
1777301000.89932,112000,0.6473461389541626
1777301006.5287986,113000,0.6540319919586182
1777301011.7547295,114000,0.4908480644226074
1777301017.3385272,115000,0.5819470882415771
1777301023.4060469,116000,0.5021474361419678
1777301028.7118514,117000,0.7948741316795349
1777301034.8839023,118000,0.3930903375148773
1777301041.1670527,119000,0.6922043561935425
1777301046.8920248,120000,0.5791798830032349
1777301052.4855804,121000,0.6528211236000061
1777301058.5697675,122000,0.392707884311676
1777301063.9041696,123000,0.49578407406806946
1777301072.7183075,124000,0.6647118926048279
1777301079.093605,125000,0.3584217429161072
1777301083.4128628,126000,0.49024704098701477
1777301088.7323737,127000,0.4147997498512268
1777301093.5911818,128000,0.5707026124000549
1777301098.1684685,129000,0.4518190324306488
1777301102.918125,130000,0.46365997195243835
1777301107.789946,131000,0.7292384505271912
1777301112.125352,132000,0.49611228704452515
1777301117.1690145,133000,0.6594619154930115
1777301121.3479416,134000,0.3379185199737549
1777301126.0492952,135000,0.4872194528579712
1777301130.4709597,136000,0.35864269733428955
1777301135.5481153,137000,0.35875797271728516
1777301140.2498996,138000,0.7003148198127747
1777301144.7534537,139000,0.4396791458129883
1777301149.5533614,140000,0.4896897077560425
1777301154.083206,141000,0.41604143381118774
1777301158.655098,142000,0.5365580320358276
1777301162.916415,143000,0.5697540640830994
1777301168.166851,144000,0.18106527626514435
1777301172.3741162,145000,0.44323256611824036
1777301177.2357895,146000,0.8695741295814514
1777301181.5828567,147000,0.6347559690475464
1777301186.6941202,148000,0.46874162554740906
1777301190.7993376,149000,0.39831021428108215
1777301195.6765647,150000,0.3200206160545349
1777301200.7651217,151000,0.3578411936759949
1777301205.1533833,152000,0.40756264328956604
1777301209.9936087,153000,0.3509746193885803
1777301214.6549926,154000,0.33131206035614014
1777301219.2391741,155000,0.49678072333335876
1777301224.1498606,156000,0.13917964696884155
1777301229.264641,157000,0.5299375057220459
1777301234.313668,158000,0.6073513627052307
1777301240.611027,159000,0.7425667643547058
1777301245.8595154,160000,0.17226849496364594
1777301251.2304106,161000,0.5200150012969971
1777301256.9549391,162000,0.30433332920074463
1777301262.673706,163000,0.5206350088119507
1777301267.2582226,164000,0.4772360622882843
