wall_time,step,value
1777327177.7975857,1000,-1.8062877655029297
1777327182.498734,2000,-1.7141878604888916
1777327187.2159374,3000,-1.772226333618164
1777327191.5049088,4000,-1.7593826055526733
1777327196.2681282,5000,-1.7261569499969482
1777327200.4423437,6000,-1.7686213254928589
1777327205.0948055,7000,-1.7334668636322021
1777327209.1838913,8000,-1.8331929445266724
1777327213.7801752,9000,-1.772482991218567
1777327217.9913602,10000,-1.7397212982177734
1777327222.541323,11000,-1.8200855255126953
1777327226.9564328,12000,-1.807241678237915
1777327231.6380165,13000,-1.6923691034317017
1777327235.9027855,14000,-1.906224012374878
1777327240.4427285,15000,-1.7944447994232178
1777327244.7406945,16000,-1.7665886878967285
1777327249.351628,17000,-1.8162425756454468
1777327253.595829,18000,-1.8624595403671265
1777327258.24629,19000,-1.7632668018341064
1777327262.5582952,20000,-1.7765436172485352
1777327267.0386863,21000,-1.9195605516433716
1777327271.3030305,22000,-1.8323640823364258
1777327275.9094799,23000,-1.6825141906738281
1777327280.1703773,24000,-1.807534098625183
1777327284.6013796,25000,-1.7726496458053589
1777327288.896269,26000,-1.7198944091796875
1777327293.4247644,27000,-1.8196008205413818
1777327297.8078887,28000,-1.7220349311828613
1777327302.4104946,29000,-1.8919928073883057
1777327306.8504524,30000,-1.7760686874389648
1777327311.1388793,31000,-1.7696486711502075
1777327315.7324147,32000,-1.8237608671188354
1777327320.1365163,33000,-1.8020838499069214
1777327324.65271,34000,-1.778486728668213
1777327328.7882276,35000,-1.8657472133636475
1777327333.1992602,36000,-1.6873470544815063
1777327337.541102,37000,-1.730473518371582
1777327341.9893622,38000,-1.819819688796997
1777327346.3247612,39000,-1.7465468645095825
1777327350.9168837,40000,-1.9128448963165283
1777327354.9997742,41000,-1.7413887977600098
1777327359.7080083,42000,-1.8785760402679443
1777327363.927618,43000,-1.6899974346160889
1777327369.0081115,44000,-1.7800257205963135
1777327373.1186292,45000,-1.7724627256393433
1777327377.7567074,46000,-1.732987642288208
1777327381.9910004,47000,-1.7090704441070557
1777327386.1523974,48000,-1.8309311866760254
1777327390.3706257,49000,-1.9086782932281494
1777327394.6190267,50000,-1.8681895732879639
1777327398.5938091,51000,-1.6314266920089722
1777327402.8673484,52000,-1.9195560216903687
1777327407.16443,53000,-1.7793916463851929
1777327411.4485517,54000,-1.7793887853622437
1777327415.5014586,55000,-1.86846125125885
1777327419.8117754,56000,-1.6942945718765259
1777327424.2793775,57000,-1.6865103244781494
1777327429.166167,58000,-1.8744271993637085
1777327433.665076,59000,-1.8802868127822876
1777327438.0374632,60000,-1.9447858333587646
1777327442.6012385,61000,-1.6997501850128174
1777327447.0721998,62000,-1.6037206649780273
1777327451.8495812,63000,-1.7668585777282715
1777327456.0291092,64000,-1.9236772060394287
1777327460.8254664,65000,-1.9559918642044067
1777327465.3188455,66000,-1.8414682149887085
1777327470.028756,67000,-1.792304515838623
1777327474.8707132,68000,-1.8092467784881592
1777327480.729577,69000,-1.8270199298858643
1777327485.1743944,70000,-1.7399921417236328
1777327490.2792544,71000,-1.8028368949890137
1777327495.6521854,72000,-1.751076340675354
1777327500.2260783,73000,-1.773781657218933
1777327504.618074,74000,-1.9018659591674805
1777327509.500447,75000,-1.6919094324111938
1777327513.7302525,76000,-1.9589910507202148
1777327518.330744,77000,-1.694777488708496
1777327522.6850963,78000,-1.8980904817581177
1777327527.8069918,79000,-1.7868576049804688
1777327532.0645468,80000,-1.8799961805343628
1777327536.7968633,81000,-1.9730638265609741
1777327541.0773356,82000,-1.713057041168213
1777327545.8817785,83000,-1.9958302974700928
1777327550.1906345,84000,-1.9001779556274414
1777327554.9558995,85000,-1.7131524085998535
1777327559.7340293,86000,-1.933432698249817
1777327564.1131485,87000,-1.9007573127746582
1777327568.7391853,88000,-1.8960083723068237
1777327573.8193164,89000,-1.8797184228897095
