wall_time,step,value
1777312646.5041385,1000,0.25
1777312651.2099586,2000,0.0
1777312656.0145445,3000,0.0
1777312661.1961217,4000,0.3333333432674408
1777312666.748733,5000,0.0
1777312671.647259,6000,0.0
1777312678.432782,7000,0.0
1777312684.6363611,8000,0.0
1777312690.0776324,9000,0.3333333432674408
1777312696.5809472,10000,0.0
1777312704.8545227,11000,0.0
1777312710.9998481,12000,0.0
1777312718.267585,13000,0.20000000298023224
1777312724.0830872,14000,0.0
1777312731.399184,15000,0.0
1777312738.3388088,16000,0.0
1777312746.1262562,17000,0.20000000298023224
1777312753.228383,18000,0.0
1777312760.8547666,19000,0.0
1777312767.2434206,20000,0.0
1777312774.728682,21000,0.0
1777312781.41082,22000,0.0
1777312788.1503634,23000,0.0
1777312795.3894134,24000,0.25
1777312802.4019768,25000,0.0
1777312810.0676427,26000,0.0
1777312817.1475844,27000,0.0
1777312822.5929728,28000,0.0
1777312827.7081547,29000,0.25
1777312833.7834685,30000,0.0
1777312839.561795,31000,0.25
1777312844.5847738,32000,0.0
1777312850.0264814,33000,0.0
1777312855.7358468,34000,0.25
1777312860.4754236,35000,0.0
1777312866.5789611,36000,0.0
1777312874.0710828,37000,0.0
1777312881.4960315,38000,0.0
1777312887.6813235,39000,0.0
1777312894.6328943,40000,0.0
1777312901.780568,41000,0.0
1777312908.252537,42000,0.0
1777312915.4017584,43000,0.0
1777312922.3994675,44000,0.0
1777312929.6334436,45000,0.0
1777312935.66289,46000,0.0
1777312942.9589968,47000,0.0
1777312949.9912653,48000,0.25
1777312957.3956134,49000,0.0
1777312963.8250062,50000,0.0
1777312971.1152477,51000,0.0
1777312977.4123487,52000,0.0
1777312984.3628037,53000,0.0
1777312991.2303479,54000,0.0
1777312998.3908527,55000,0.0
1777313005.1119542,56000,0.0
1777313011.9659743,57000,0.0
1777313019.0932367,58000,0.20000000298023224
1777313025.8719797,59000,0.0
1777313032.2023733,60000,0.3333333432674408
1777313038.8988395,61000,0.0
1777313046.225056,62000,0.0
1777313052.6828382,63000,0.0
1777313059.7925854,64000,0.0
1777313066.630636,65000,0.0
1777313073.8231125,66000,0.20000000298023224
1777313080.3403637,67000,0.0
1777313087.4674485,68000,0.0
1777313093.6630013,69000,0.25
1777313100.8430169,70000,0.0
1777313107.5279958,71000,0.0
1777313114.815677,72000,0.25
1777313121.283023,73000,0.0
1777313127.908136,74000,0.0
1777313135.535417,75000,0.0
1777313142.2337987,76000,0.25
1777313148.741138,77000,0.25
1777313155.6039982,78000,0.0
1777313162.4206483,79000,0.20000000298023224
1777313168.784182,80000,0.0
1777313175.8718839,81000,0.0
1777313182.6407475,82000,0.0
1777313189.6429062,83000,0.0
1777313195.8689392,84000,0.0
1777313203.2563503,85000,0.0
1777313210.5101776,86000,0.0
1777313217.122681,87000,0.0
1777313223.3929725,88000,0.0
1777313231.0259068,89000,0.0
1777313237.5745249,90000,0.25
1777313244.5975084,91000,0.0
1777313251.1669772,92000,0.0
1777313257.7129343,93000,0.0
1777313265.1458278,94000,0.0
1777313271.543215,95000,0.0
1777313278.8543997,96000,0.0
1777313286.0010529,97000,0.0
1777313291.8344288,98000,0.0
1777313296.8403513,99000,0.0
1777313302.280801,100000,0.0
1777313307.8142877,101000,0.0
1777313312.9323704,102000,0.0
1777313318.9096448,103000,0.4000000059604645
1777313325.0367706,104000,0.0
1777313329.9601815,105000,0.0
1777313335.9752462,106000,0.0
1777313341.8434222,107000,0.0
1777313347.524141,108000,0.0
1777313353.938046,109000,0.0
1777313359.640021,110000,0.0
1777313365.8778138,111000,0.1428571492433548
1777313371.7452326,112000,0.1111111119389534
1777313377.2771578,113000,0.5
1777313382.699255,114000,0.0
1777313388.5568871,115000,0.25
1777313393.676297,116000,0.0
1777313400.216616,117000,0.0
1777313405.475358,118000,0.0
1777313410.7798645,119000,0.0
1777313415.2364187,120000,0.0
1777313420.8520513,121000,0.0
1777313425.6918035,122000,0.0
1777313430.3188398,123000,0.0
1777313435.3674915,124000,0.20000000298023224
1777313440.2772956,125000,0.125
1777313444.7209704,126000,0.0
1777313449.9598107,127000,0.1428571492433548
1777313454.9822311,128000,0.0
1777313459.8770223,129000,0.0
1777313465.269513,130000,0.0
1777313470.99525,131000,0.0
1777313477.7219937,132000,0.2222222238779068
1777313484.4258065,133000,0.0
1777313491.606061,134000,0.0
1777313498.209378,135000,0.0
1777313505.3567674,136000,0.09090909361839294
1777313512.4913037,137000,0.10000000149011612
1777313519.1872525,138000,0.0
1777313526.3254848,139000,0.0
1777313533.2391608,140000,0.1666666716337204
1777313539.8338158,141000,0.0833333358168602
1777313547.2603343,142000,0.0
1777313554.1898963,143000,0.0
1777313560.3951275,144000,0.0
1777313567.245737,145000,0.0
1777313574.2473276,146000,0.09090909361839294
1777313580.8144925,147000,0.125
1777313587.5859616,148000,0.09090909361839294
1777313594.7891746,149000,0.0
1777313602.1160066,150000,0.0
1777313608.9737146,151000,0.0
1777313615.8100903,152000,0.0
1777313622.6805184,153000,0.1111111119389534
1777313629.4034154,154000,0.0
1777313636.425765,155000,0.0
1777313642.9750028,156000,0.0
1777313650.1810756,157000,0.0
1777313656.6459434,158000,0.0
1777313664.1603315,159000,0.0
1777313670.9699738,160000,0.0
1777313677.4892876,161000,0.0
1777313684.7646184,162000,0.0833333358168602
1777313691.7308295,163000,0.0
1777313698.4903085,164000,0.0
1777313705.7646444,165000,0.07692307978868484
1777313712.5229301,166000,0.0
1777313718.6147864,167000,0.0
1777313725.3405929,168000,0.0
1777313732.2971702,169000,0.0
1777313739.2968779,170000,0.0
1777313745.8630981,171000,0.0
1777313751.4514537,172000,0.0
