wall_time,step,value
1777319410.1186998,1000,-1.8236364126205444
1777319415.2033246,2000,-1.7788585424423218
1777319419.7501626,3000,-1.8218462467193604
1777319424.40042,4000,-1.8650100231170654
1777319428.8975663,5000,-1.7871698141098022
1777319433.0732892,6000,-1.8218644857406616
1777319437.7171752,7000,-1.7430676221847534
1777319442.1044526,8000,-1.813606858253479
1777319446.5885746,9000,-1.748436689376831
1777319451.0196497,10000,-1.8070141077041626
1777319455.5987852,11000,-1.80055832862854
1777319460.0208716,12000,-1.8480170965194702
1777319464.7744873,13000,-1.7200820446014404
1777319469.199172,14000,-1.6959147453308105
1777319473.8204172,15000,-1.8076682090759277
1777319478.3454273,16000,-1.8264645338058472
1777319482.6860023,17000,-1.780877947807312
1777319487.0998764,18000,-1.6342438459396362
1777319491.766915,19000,-1.789928913116455
1777319496.1281726,20000,-1.876423716545105
1777319500.5298324,21000,-1.8232553005218506
1777319504.9479313,22000,-1.61865234375
1777319509.7223427,23000,-1.8101540803909302
1777319513.821575,24000,-1.7615326642990112
1777319518.5136294,25000,-1.8523316383361816
1777319522.9496844,26000,-1.763084053993225
1777319527.3384721,27000,-1.7786284685134888
1777319532.117171,28000,-1.8129514455795288
1777319536.2145565,29000,-1.7569704055786133
1777319540.811263,30000,-1.811877727508545
1777319545.294687,31000,-1.9051119089126587
1777319549.8864267,32000,-1.831971287727356
1777319554.2069123,33000,-1.8327442407608032
1777319558.8327804,34000,-1.7357453107833862
1777319563.1723218,35000,-1.6177805662155151
1777319568.017064,36000,-1.8994777202606201
1777319572.0696309,37000,-1.9512748718261719
1777319576.6703699,38000,-1.8270776271820068
1777319581.2107692,39000,-1.8575142621994019
1777319585.7740383,40000,-1.8368347883224487
1777319590.272136,41000,-1.7337180376052856
1777319594.7467375,42000,-1.8314918279647827
1777319599.3352287,43000,-1.842873215675354
1777319603.907619,44000,-1.7632410526275635
1777319608.0495858,45000,-1.722265362739563
1777319612.9277368,46000,-1.738725185394287
1777319617.1760423,47000,-1.828184962272644
1777319621.9548695,48000,-2.01080322265625
1777319626.200842,49000,-1.8215762376785278
1777319630.750058,50000,-1.8901668787002563
1777319635.2423327,51000,-1.7518996000289917
1777319639.743604,52000,-1.7158422470092773
1777319644.3207972,53000,-1.8753998279571533
1777319649.059787,54000,-1.9073976278305054
1777319653.0871778,55000,-1.8138383626937866
1777319657.3889213,56000,-1.677735447883606
1777319662.0890896,57000,-1.9505561590194702
1777319666.5849056,58000,-1.764649510383606
1777319671.236517,59000,-1.7665537595748901
1777319675.7569268,60000,-1.730756402015686
1777319680.42959,61000,-1.7774056196212769
1777319684.671651,62000,-1.758781909942627
1777319689.4495292,63000,-1.5840295553207397
1777319693.8343134,64000,-1.8926035165786743
1777319698.2038033,65000,-1.9051580429077148
1777319702.6111343,66000,-1.8406829833984375
1777319707.1772108,67000,-1.9137078523635864
1777319711.5619557,68000,-1.8197344541549683
1777319716.0970063,69000,-1.5587739944458008
1777319720.5110238,70000,-1.7393708229064941
1777319725.2054012,71000,-1.6872947216033936
1777319730.0210397,72000,-1.9767009019851685
1777319734.3251824,73000,-1.8685139417648315
1777319738.57951,74000,-1.7986820936203003
1777319743.2404966,75000,-1.823814034461975
1777319747.539679,76000,-2.043030023574829
1777319751.9077168,77000,-1.9655780792236328
1777319756.4471674,78000,-1.779554009437561
1777319760.9485915,79000,-1.802236795425415
1777319765.4380727,80000,-1.83791184425354
1777319769.7730358,81000,-1.9528577327728271
1777319774.2499483,82000,-1.913240671157837
