wall_time,step,value
1777307202.5395315,1000,-1.803243637084961
1777307207.084417,2000,-2.0116961002349854
1777307212.6335824,3000,-2.1012542247772217
1777307217.5329928,4000,-1.6816774606704712
1777307222.3431187,5000,-1.6356968879699707
1777307227.5693746,6000,-1.7229512929916382
1777307232.159745,7000,-1.9199150800704956
1777307237.3274846,8000,-1.5445293188095093
1777307245.2284198,9000,-1.9140251874923706
1777307250.8238826,10000,-1.8700945377349854
1777307257.0579343,11000,-2.1332967281341553
1777307262.2313972,12000,-1.6859114170074463
1777307268.5192409,13000,-1.8827768564224243
1777307274.5741613,14000,-1.5540865659713745
1777307280.6711023,15000,-1.7431336641311646
1777307286.2212322,16000,-1.969988465309143
1777307291.84322,17000,-1.730886697769165
1777307297.5554032,18000,-1.7053618431091309
1777307303.5907247,19000,-1.5695878267288208
1777307309.2696588,20000,-1.9545986652374268
1777307315.0549433,21000,-1.6433886289596558
1777307320.9860234,22000,-1.4208567142486572
1777307326.8892121,23000,-1.8614599704742432
1777307332.87744,24000,-1.929580569267273
1777307339.3301613,25000,-1.9423158168792725
1777307344.8231237,26000,-1.8949012756347656
1777307350.6517835,27000,-1.7748018503189087
1777307356.2038693,28000,-1.8272961378097534
1777307361.6082895,29000,-1.620131254196167
1777307366.2784176,30000,-1.766075849533081
1777307371.2605321,31000,-1.7871088981628418
1777307376.5271456,32000,-2.0574166774749756
1777307381.1989832,33000,-1.4180024862289429
1777307386.4750202,34000,-1.8111696243286133
1777307391.03406,35000,-1.8533289432525635
1777307396.7261636,36000,-1.7164039611816406
1777307401.1001418,37000,-1.2302558422088623
1777307406.1009102,38000,-1.7501938343048096
1777307411.2241185,39000,-1.784148097038269
1777307416.6123574,40000,-1.7708683013916016
1777307421.6819487,41000,-1.772876262664795
1777307427.8553832,42000,-1.6623519659042358
1777307433.2456248,43000,-1.915845274925232
1777307438.9099617,44000,-1.8140442371368408
1777307443.7791169,45000,-1.6834450960159302
1777307449.2003613,46000,-1.9740577936172485
1777307454.5129375,47000,-1.5309789180755615
1777307460.0417554,48000,-1.984967589378357
1777307465.6564457,49000,-1.8743983507156372
1777307470.9818728,50000,-1.707866907119751
1777307476.170193,51000,-1.7624982595443726
1777307481.8388212,52000,-1.9822174310684204
1777307487.2209213,53000,-1.679323434829712
1777307492.534531,54000,-1.7485493421554565
1777307497.9506612,55000,-1.489089012145996
1777307503.135367,56000,-1.892139196395874
1777307508.5387151,57000,-1.425001859664917
1777307513.9528258,58000,-2.052628517150879
1777307519.5553255,59000,-1.8699872493743896
1777307524.5196912,60000,-1.7644858360290527
1777307530.1394813,61000,-1.9245750904083252
1777307535.6141531,62000,-1.6368781328201294
1777307540.9294226,63000,-1.8104265928268433
1777307546.3294806,64000,-1.9184914827346802
1777307551.9360123,65000,-2.0388710498809814
1777307556.474979,66000,-1.4345721006393433
1777307562.1088145,67000,-1.8293867111206055
1777307566.712923,68000,-1.920911431312561
1777307571.6613135,69000,-1.7492728233337402
1777307577.0446932,70000,-1.5594688653945923
1777307582.272886,71000,-1.6618658304214478
1777307587.5824115,72000,-1.8498640060424805
1777307592.6437159,73000,-1.7042361497879028
1777307598.2897334,74000,-1.8436168432235718
1777307603.1696434,75000,-1.586249589920044
1777307608.1188445,76000,-1.5078129768371582
1777307612.7462156,77000,-1.7626084089279175
1777307618.3251212,78000,-1.9418368339538574
1777307622.8515205,79000,-1.6630353927612305
1777307628.227145,80000,-1.5963687896728516
1777307633.981397,81000,-1.9107145071029663
1777307639.3150878,82000,-1.9576116800308228
1777307644.4400318,83000,-1.827949047088623
1777307650.2810514,84000,-1.6747350692749023
1777307655.6843903,85000,-2.005603313446045
1777307661.1359148,86000,-1.9111340045928955
1777307666.1686447,87000,-1.9890990257263184
1777307671.6673272,88000,-2.01843523979187
1777307676.8428757,89000,-1.9445899724960327
1777307682.4957864,90000,-1.972132921218872
1777307687.9225357,91000,-1.8163398504257202
1777307694.3424315,92000,-1.7185075283050537
1777307698.8073008,93000,-1.6356046199798584
1777307704.7204127,94000,-1.8590741157531738
1777307710.6646476,95000,-1.667636752128601
1777307715.6374485,96000,-1.889609932899475
1777307720.9900062,97000,-1.5202178955078125
1777307726.9769964,98000,-1.6453931331634521
1777307732.2917345,99000,-1.924743890762329
1777307736.929589,100000,-1.9456201791763306
1777307741.6634367,101000,-1.9590376615524292
1777307746.1229286,102000,-2.0524580478668213
1777307750.5396595,103000,-1.6744385957717896
1777307754.8931375,104000,-1.7606122493743896
1777307759.382025,105000,-1.7820894718170166
1777307763.2893019,106000,-1.7011420726776123
1777307767.7506266,107000,-1.7709962129592896
1777307771.9242678,108000,-1.6961390972137451
1777307776.416454,109000,-1.6925454139709473
1777307780.9542265,110000,-1.5464210510253906
1777307785.1696656,111000,-1.9397088289260864
1777307789.2987566,112000,-2.027379274368286
1777307793.9882016,113000,-1.8499212265014648
1777307798.0719528,114000,-1.8835303783416748
1777307802.7258909,115000,-1.5094491243362427
1777307806.9013507,116000,-1.8177293539047241
1777307811.3182523,117000,-1.8886343240737915
1777307815.5460021,118000,-1.7678459882736206
1777307819.9594316,119000,-1.5256096124649048
1777307824.5901046,120000,-1.6833454370498657
1777307828.7551837,121000,-1.6864256858825684
1777307834.475213,122000,-1.8687025308609009
1777307838.7130873,123000,-1.8544443845748901
1777307843.6611993,124000,-1.7929623126983643
1777307848.1025891,125000,-1.9230971336364746
1777307852.7161674,126000,-2.0372183322906494
1777307857.0400765,127000,-1.6430253982543945
1777307862.5125911,128000,-2.079594612121582
1777307866.616346,129000,-1.9251586198806763
1777307871.0433545,130000,-1.5634162425994873
1777307875.200494,131000,-1.5549434423446655
1777307880.083079,132000,-1.8427752256393433
1777307884.1760597,133000,-1.9733811616897583
1777307889.24872,134000,-1.6107127666473389
1777307893.3409674,135000,-1.7801812887191772
1777307898.4522967,136000,-1.804234266281128
1777307902.7695634,137000,-1.7557482719421387
1777307906.8348863,138000,-1.7036298513412476
1777307911.1562395,139000,-1.6394411325454712
1777307915.542551,140000,-1.8279865980148315
1777307920.7188811,141000,-1.6331140995025635
1777307926.0630147,142000,-1.9634207487106323
1777307931.8778703,143000,-1.9990973472595215
1777307936.1262324,144000,-1.5224320888519287
1777307941.00778,145000,-1.6821130514144897
1777307945.308994,146000,-1.6820883750915527
1777307950.306793,147000,-1.985688328742981
1777307954.57826,148000,-1.9916964769363403
1777307959.0405476,149000,-1.750943899154663
1777307963.601981,150000,-1.9222981929779053
1777307967.6432433,151000,-1.739275336265564
1777307972.1479144,152000,-1.6654638051986694
1777307976.871669,153000,-1.5815160274505615
1777307981.681255,154000,-1.8949233293533325
1777307987.4268427,155000,-1.6848329305648804
1777307993.8068078,156000,-1.628576397895813
1777307998.0719051,157000,-1.9241641759872437
1777308002.293021,158000,-1.8085721731185913
1777308006.9569824,159000,-1.7004108428955078
1777308011.1441717,160000,-1.8227695226669312
1777308015.5033677,161000,-1.792563796043396
1777308019.7532852,162000,-1.8520050048828125
1777308024.2720666,163000,-1.9610670804977417
1777308028.561611,164000,-1.7377020120620728
1777308032.6224506,165000,-1.8815851211547852
1777308037.1950772,166000,-1.356000304222107
1777308041.1817772,167000,-2.1073431968688965
1777308045.686767,168000,-1.7909176349639893
1777308050.1051867,169000,-1.7781916856765747
1777308054.5680676,170000,-1.8050018548965454
1777308058.7918363,171000,-1.758530855178833
1777308063.455844,172000,-2.021340847015381
1777308067.77092,173000,-1.8991912603378296
1777308072.1632059,174000,-1.71982741355896
1777308076.5893714,175000,-1.6992865800857544
1777308081.2050006,176000,-1.771005630493164
1777308085.4114463,177000,-1.9667290449142456
1777308089.8196943,178000,-1.5941357612609863
1777308093.8630304,179000,-1.8107575178146362
1777308098.2965534,180000,-1.9395647048950195
1777308102.4869964,181000,-1.6942428350448608
1777308106.8123276,182000,-1.9893335103988647
1777308111.0604658,183000,-1.8838481903076172
1777308115.4206748,184000,-1.9805924892425537
1777308119.8824594,185000,-1.8514739274978638
1777308124.3084695,186000,-2.0281198024749756
1777308128.8330934,187000,-1.8725725412368774
1777308132.819749,188000,-1.6158711910247803
1777308137.366602,189000,-2.2023940086364746
1777308141.7399848,190000,-1.9398144483566284
1777308146.3067276,191000,-1.8037973642349243
1777308150.9472663,192000,-1.1222789287567139
1777308155.0223866,193000,-1.84336519241333
1777308159.0931687,194000,-1.937117576599121
1777308163.6142972,195000,-1.836422324180603
1777308167.9160745,196000,-1.875504493713379
1777308172.2444396,197000,-1.935544729232788
1777308176.6107454,198000,-1.6005772352218628
1777308180.998478,199000,-2.1588871479034424
1777308185.2675438,200000,-1.942600131034851
1777308189.987097,201000,-1.717320442199707
1777308195.1219847,202000,-1.8611819744110107
1777308199.593575,203000,-1.6428184509277344
1777308205.342673,204000,-1.9469208717346191
